GrLivArea,OverallQual,TotalBsmtSF
1828.0,9,1822.0
894.0,5,894.0
964.0,5,876.0
1689.0,8,1568.0
1541.0,7,1541.0
1221.0,7,1221.0
1324.0,6,1088.0
1416.0,7,696.0
988.0,4,462.0
1218.0,6,735.0
1656.0,7,746.0
1362.0,6,1362.0
1839.0,6,756.0
1375.0,6,1367.0
1122.0,5,924.0
1432.0,5,1360.0
1456.0,7,728.0
1217.0,7,1188.0
1040.0,5,0.0
1224.0,6,612.0
1774.0,7,952.0
1367.0,5,861.0
1360.0,5,803.0
848.0,6,848.0
2262.0,8,1482.0
1220.0,4,836.0
1414.0,7,1375.0
2058.0,6,735.0
1198.0,6,901.0
1659.0,8,1501.0
1012.0,6,1012.0
3082.0,7,824.0
1812.0,5,360.0
1929.0,7,1057.0
954.0,5,911.0
1838.0,9,1838.0
1640.0,6,1296.0
1148.0,5,1148.0
950.0,5,950.0
1911.0,8,777.0
1635.0,6,1065.0
1316.0,7,1316.0
1442.0,6,1442.0
1078.0,5,1078.0
1120.0,4,1040.0
1419.0,8,408.0
1389.0,7,651.0
1063.0,5,1056.0
1792.0,9,1792.0
1216.0,6,1216.0
1762.0,7,596.0
1959.0,7,847.0
1208.0,6,1208.0
1524.0,5,874.0
1154.0,4,796.0
1048.0,5,0.0
886.0,5,190.0
943.0,5,943.0
1768.0,7,866.0
2599.0,9,1393.0
912.0,5,912.0
882.0,5,0.0
1337.0,6,1405.0
2076.0,10,2076.0
2531.0,8,1318.0
1768.0,5,731.0
1625.0,8,1573.0
2144.0,6,1444.0
2775.0,10,1237.0
1868.0,6,585.0
1525.0,7,1525.0
1571.0,8,1571.0
796.0,5,796.0
2372.0,5,994.0
1472.0,7,384.0
960.0,4,648.0
1838.0,5,732.0
1309.0,6,1040.0
2643.0,9,2153.0
1131.0,5,676.0
1960.0,5,960.0
1144.0,5,1144.0
1056.0,6,1056.0
693.0,4,693.0
1494.0,6,1479.0
1646.0,8,1594.0
864.0,5,864.0
1566.0,8,1566.0
1395.0,6,723.0
1208.0,4,780.0
1513.0,5,939.0
1367.0,6,884.0
955.0,5,955.0
1077.0,3,1007.0
1056.0,5,1056.0
1553.0,7,756.0
1614.0,7,1614.0
2042.0,8,2042.0
1073.0,5,1073.0
1285.0,5,672.0
2117.0,6,1205.0
605.0,4,528.0
1150.0,5,1150.0
1456.0,6,728.0
999.0,7,944.0
1500.0,6,750.0
1336.0,5,1165.0
1593.0,6,839.0
2184.0,9,1104.0
1560.0,7,1560.0
1644.0,5,728.0
630.0,4,630.0
1113.0,6,1143.0
2172.0,7,1063.0
1346.0,4,560.0
2610.0,8,1184.0
1958.0,7,1026.0
1468.0,8,1468.0
1734.0,5,0.0
1200.0,5,768.0
1550.0,7,1092.0
2230.0,4,795.0
1639.0,6,1064.0
864.0,5,864.0
1621.0,7,1208.0
987.0,6,483.0
2519.0,7,1210.0
1365.0,5,765.0
2290.0,8,1128.0
2596.0,9,1249.0
907.0,4,907.0
1456.0,6,855.0
1190.0,5,1106.0
858.0,4,858.0
2223.0,7,2223.0
1005.0,4,1005.0
1895.0,7,712.0
1040.0,5,1040.0
1264.0,5,1268.0
1761.0,7,874.0
1034.0,6,1012.0
1363.0,7,1385.0
1689.0,6,1436.0
2113.0,8,2109.0
1573.0,7,1573.0
2364.0,9,2330.0
2034.0,7,1057.0
1291.0,6,1291.0
858.0,5,858.0
1258.0,6,560.0
438.0,2,290.0
1400.0,6,672.0
954.0,5,920.0
1445.0,6,1127.0
1072.0,6,547.0
1664.0,5,0.0
2134.0,6,844.0
3194.0,8,965.0
1824.0,6,912.0
1756.0,6,872.0
912.0,5,912.0
1509.0,6,1461.0
1608.0,6,976.0
1316.0,6,1316.0
1015.0,5,768.0
1134.0,5,756.0
1636.0,8,1623.0
1320.0,7,660.0
2126.0,5,1013.0
1128.0,5,1120.0
1306.0,5,992.0
1344.0,4,546.0
2554.0,7,718.0
893.0,5,845.0
1933.0,6,894.0
1218.0,6,672.0
1969.0,7,808.0
2090.0,8,1220.0
1484.0,5,1484.0
1656.0,5,1656.0
1224.0,6,818.0
2054.0,6,992.0
854.0,7,832.0
1092.0,4,546.0
1268.0,5,1268.0
1661.0,7,799.0
1668.0,8,1657.0
1493.0,6,1478.0
932.0,6,932.0
1277.0,7,1277.0
1530.0,7,1530.0
1344.0,5,1024.0
860.0,5,840.0
1314.0,7,1314.0
1962.0,7,1391.0
1490.0,7,788.0
848.0,6,848.0
672.0,5,672.0
2340.0,7,1152.0
1656.0,5,660.0
1479.0,7,725.0
1226.0,7,1226.0
2087.0,6,832.0
1158.0,6,1158.0
1154.0,5,1154.0
1724.0,7,880.0
1658.0,6,773.0
1126.0,4,0.0
1393.0,5,816.0
3447.0,8,728.0
987.0,6,483.0
1355.0,5,644.0
2069.0,7,585.0
1501.0,7,744.0
1976.0,8,1976.0
1563.0,8,1563.0
1111.0,7,572.0
1502.0,7,776.0
1733.0,3,0.0
2728.0,9,1848.0
1302.0,5,630.0
1524.0,7,1332.0
1588.0,4,0.0
1125.0,5,1125.0
1200.0,7,600.0
1640.0,6,798.0
2127.0,7,1223.0
972.0,6,972.0
2020.0,8,1128.0
1144.0,5,1144.0
1352.0,5,1062.0
1316.0,5,926.0
1924.0,8,1086.0
1164.0,5,1164.0
952.0,5,952.0
2358.0,8,684.0
1680.0,6,880.0
1912.0,6,482.0
1004.0,6,1004.0
1230.0,4,747.0
1167.0,5,915.0
1301.0,5,1145.0
1453.0,7,1453.0
1601.0,8,1581.0
1588.0,8,1588.0
1095.0,6,588.0
1050.0,5,1050.0
960.0,4,960.0
1456.0,5,810.0
1489.0,6,1489.0
1726.0,7,1726.0
2082.0,7,1362.0
1339.0,7,1309.0
2450.0,8,1284.0
1863.0,7,879.0
768.0,5,768.0
334.0,1,0.0
1136.0,6,1136.0
1337.0,6,1237.0
912.0,5,912.0
1812.0,5,864.0
2192.0,5,720.0
1184.0,5,658.0
1889.0,7,925.0
1327.0,5,1063.0
1422.0,6,1422.0
1632.0,5,1632.0
1630.0,7,1630.0
1526.0,3,1013.0
1040.0,4,0.0
1647.0,6,806.0
1981.0,4,1122.0
1644.0,6,1416.0
2574.0,8,1482.0
1824.0,6,764.0
1350.0,6,1248.0
958.0,6,958.0
1848.0,6,833.0
1620.0,4,1281.0
1167.0,6,1158.0
1487.0,6,735.0
892.0,5,892.0
804.0,5,788.0
1140.0,5,1140.0
1796.0,6,780.0
2030.0,6,848.0
2007.0,10,1017.0
691.0,5,691.0
1590.0,8,768.0
1855.0,6,994.0
1804.0,7,994.0
1768.0,7,884.0
3627.0,10,1930.0
1298.0,6,1298.0
1801.0,7,1501.0
630.0,5,630.0
1103.0,6,1103.0
1178.0,4,859.0
1196.0,4,1196.0
1372.0,7,1372.0
1431.0,6,1099.0
1422.0,7,1422.0
1953.0,6,1580.0
1121.0,4,1121.0
2473.0,8,1143.0
1057.0,5,1057.0
1110.0,5,1097.0
2270.0,8,1152.0
2018.0,9,2002.0
1386.0,6,672.0
1953.0,8,1082.0
1337.0,8,1337.0
2285.0,8,969.0
1718.0,8,1705.0
1086.0,5,1024.0
1555.0,7,1373.0
1902.0,7,1902.0
2514.0,7,1216.0
1224.0,5,1086.0
1054.0,6,1054.0
2612.0,8,1225.0
902.0,5,876.0
2353.0,7,845.0
1392.0,6,689.0
1155.0,5,1109.0
1904.0,5,1208.0
1158.0,6,862.0
1362.0,6,611.0
2291.0,7,975.0
1317.0,4,649.0
1734.0,8,1734.0
1194.0,6,1194.0
1416.0,5,876.0
1383.0,5,1383.0
2002.0,5,1001.0
1496.0,8,1496.0
1604.0,5,984.0
764.0,5,680.0
1732.0,6,741.0
1494.0,7,1494.0
986.0,6,960.0
1145.0,7,1145.0
1484.0,6,742.0
1344.0,6,819.0
1539.0,5,650.0
2504.0,9,1122.0
747.0,4,600.0
2097.0,7,1108.0
4676.0,10,3138.0
1176.0,6,698.0
720.0,4,720.0
1580.0,8,1580.0
1440.0,4,1440.0
1476.0,6,738.0
1500.0,7,1500.0
1348.0,5,884.0
1200.0,5,864.0
1394.0,6,1394.0
1632.0,6,800.0
912.0,5,912.0
2624.0,6,1370.0
1696.0,5,1140.0
1230.0,5,440.0
2727.0,8,853.0
1456.0,6,728.0
864.0,4,864.0
1709.0,6,970.0
1665.0,8,810.0
2646.0,7,1347.0
1640.0,7,798.0
1699.0,3,978.0
1663.0,4,1364.0
1728.0,5,1728.0
1845.0,6,1055.0
1851.0,6,822.0
1489.0,8,1489.0
864.0,6,864.0
1256.0,5,1256.0
816.0,5,816.0
1820.0,7,864.0
2127.0,7,1104.0
